Event Label,Event Action,Event Value Total,Unique Events,Event Value WON,Unique Events
6873cf30fc65b643,LEVEL2,45,1,45,1
1b05c07a7e663e08,LEVEL2,44,1,44,1
854a92467d63a041,LEVEL2,41,1,41,1
271db9de004cf78b,LEVEL2,39,1,39,1
6d0113052c269298,LEVEL2,39,1,39,1
711c0f4aec9e3ecf,LEVEL2,37,1,37,1
8d5f94aa50520880,LEVEL2,37,1,37,1
2e035e79444f5880,LEVEL2,33,1,33,1
f0c40c4a883680ff,LEVEL2,33,1,33,1
48e9da36e7514aaa,LEVEL2,32,1,32,1
9ab0f8005ae72db9,LEVEL2,32,1,32,1
b7a40cd5e214004e,LEVEL2,32,1,32,1
2fc404defe463dcc,LEVEL2,31,1,31,1
d3188e446fbbb98f,LEVEL2,31,1,31,1
1290dfbcf881dde0,LEVEL2,30,1,30,1
3a843e83d9cd7f82,LEVEL2,30,1,30,1
55c2d8814433880a,LEVEL2,30,1,30,1
65718f7ffff8f3e5,LEVEL2,30,1,30,1
2349496fc87d340d,LEVEL2,29,1,29,1
2bbd1d974be8d749,LEVEL2,29,1,29,1
91defa2d2ce8519c,LEVEL2,28,1,28,1
66e414e2c47a1008,LEVEL2,25,1,25,1
1c001316fa0b1d83,LEVEL2,13,1,13,1
